view,angry
66124,3336
62972,1686
62920,393
60846,1299
60070,346
57363,2547
51977,481
50952,101
49957,645
49256,1007
48925,2585
47648,1012
47642,2346
46881,570
46299,812
44948,1614
44805,1220
176071,12012
172165,4242
146595,701
138349,3353
123582,260
116357,70
100456,985
98343,3065
93680,1853
93444,520
86480,7135
83378,528
80665,1158
79661,4233
76475,84
75119,650
74634,872
74460,427
66689,624
65697,1785
64443,1022
64107,232
63063,305
62091,479
61913,1415
60777,2744
60593,742
58862,1176
55847,2012
53190,794
161510,4388
134840,2312
125860,653
124184,586
120328,321
115588,1152
114633,1254
111471,4513
108842,461
108156,473
103529,401
100706,494
98880,620
96525,328
92717,363
91892,9873
90629,587
86198,28
81120,849
78797,719
78678,933
78064,757
77765,1437
77104,2143
75401,3250
72944,2317
72264,436
71635,1309
70915,508
70583,2646
167182,2435
150015,91
138373,2312
114097,1916
106713,2635
103988,1632
101823,1070
101168,5454
97987,2456
91834,3303
87018,1139
83599,295
78680,1668
77473,2680
68702,1423
68681,1702
67363,822
64463,600
62882,615
61703,1404
60042,1914
59566,354
58328,1562
57431,2545
55871,521
55495,398
53585,2373
53488,336
52789,1354
52418,263
276915,937
196428,6345
157422,3662
135402,1647
126514,3716
122714,777
117827,6386
116941,2063
114646,5608
110730,299
105825,6943
104950,4252
99956,671
96027,507
88797,858
84927,1552
82780,918
79230,437
79102,205
78565,210
76712,3339
75101,1759
74090,47
72988,4252
72127,4516
71087,387
69608,5362
66607,1275
63503,359
61782,1218
162952,6069
161226,4970
150513,6059
139457,3272
136942,3050
114864,476
114732,26
113930,596
110273,1442
88198,2140
86622,2803
86047,647
83754,259
82284,1393
82265,213
78865,379
75061,1634
71879,1556
64531,4837
63944,3241
63480,25
61686,199
61321,163
60830,3423
58129,167
57230,389
55725,1117
55607,3662
55367,1305
54669,96
165230,10376
142380,286
131903,1059
131693,5509
127827,4465
123831,13484
117402,2001
117302,5764
105480,9696
100532,1569
98665,1349
96019,10664
92397,5361
90289,3660
89865,2988
85732,516
82733,3092
81657,148
79982,2285
79838,193
78859,5089
68915,492
67430,111
65724,334
65101,80
64020,4463
61428,4941
59550,24
56510,232
55786,725
131915,5963
124744,8981
122121,4591
117917,3429
101763,8213
94911,2809
94505,832
91684,337
90508,4076
84411,122
78947,3863
77640,65
72771,4043
69899,2124
67716,7109
63186,1854
62957,3808
60820,219
59908,4593
59424,2326
58506,142
56647,1927
54461,660
53035,45
52369,34
51619,2102
51489,42
51085,712
50361,229
49851,67
213730,2695
189456,199
121427,376
121330,1941
113697,648
107269,1561
101929,152
100936,9610
91118,4777
89305,1024
88318,340
88062,1003
87290,557
84553,5659
76912,129
75043,1008
73217,39
72261,1222
68922,94
68801,2937
66758,3861
64483,111
64089,55
63923,116
63302,105
63116,665
62962,2184
59658,140
59583,4870
58847,2978
153878,7218
137429,3369
133501,3627
108229,185
106298,2565
102121,14152
101063,152
100455,4943
97790,4519
93938,3351
75760,3750
75628,712
75395,1403
74382,5862
74139,401
73957,339
72758,51
72389,4353
71902,527
71087,3299
71002,3151
69653,2520
69417,5027
67158,6686
64925,944
64340,1237
64335,679
63722,1496
62986,2062
59075,330
141292,1357
119091,654
115515,4633
115179,238
103258,861
89792,1483
85813,710
77002,1126
74050,271
68719,3349
65688,3396
62924,936
62034,9848
59904,11898
57434,4652
56115,4288
54744,30
53165,190
53057,1458
52414,349
52105,219
51763,4345
49734,225
48444,384
47866,211
46360,60
45724,1140
45504,7881
45088,477
43691,1478
226865,200
190428,9663
154704,1106
103483,4947
98142,265
93719,375
82546,260
81514,3806
76964,3670
70954,39
66849,195
63579,1080
63408,311
62525,848
61680,684
58784,1682
57819,617
56361,7881
54076,31
52191,912
52053,24
51066,1129
46614,995
43841,785
43308,1005
41184,8
40650,572
40570,42
39756,7
39511,43
115882,880
104781,451
90490,2860
86966,885
83887,1261
76645,130
71544,739
66658,1701
66287,953
65984,502
65510,1080
64216,269
62853,3056
62684,872
59643,3663
56977,50
56778,41
54777,4004
53786,60
53690,361
52101,532
51916,1341
51716,355
51102,103
50168,1960
49875,656
48033,530
47076,444
45664,2677
45377,424
192550,399
95950,43
91501,159
77464,949
76150,6210
73324,2005
72962,632
68869,763
68534,2009
67762,66
65591,377
63765,70
63678,6953
62146,82
61883,265
60070,82
59217,664
58786,1395
57265,15
56384,754
55778,87
55349,656
52772,673
51207,1041
50629,90
48799,90
46291,18
45616,718
43662,375
43618,142
198750,6444
180654,7748
116920,6169
114506,4670
110527,171
91464,18
90967,2019
75255,827
71748,1733
71399,37
67338,4141
66429,1374
63179,3979
63106,4072
63005,1689
61739,4305
61499,2978
